Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,27-06-2023,David Padilla,Florida,Miami,2023-06
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,2024-12
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,25-07-2021,Robert Stone,New York,Buffalo,2021-07
B-26776,4975,1330,14,Electronics,Printers,UPI,27-06-2023,David Padilla,Florida,Miami,2023-06
B-26776,4975,1330,14,Electronics,Printers,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,2024-12
B-26776,4975,1330,14,Electronics,Printers,UPI,25-07-2021,Robert Stone,New York,Buffalo,2021-07
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,11-05-2024,John Fields,Florida,Orlando,2024-05
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,09-10-2021,Clayton Smith,Florida,Miami,2021-10
B-26640,883,117,10,Electronics,Laptops,EMI,18-11-2022,Richard Kelley,California,Los Angeles,2022-11
B-26640,8127,3551,16,Furniture,Tables,Credit Card,18-11-2022,Richard Kelley,California,Los Angeles,2022-11
B-25890,2516,734,19,Furniture,Chairs,UPI,12-11-2023,Jacqueline Hubbard,New York,New York City,2023-11
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,23-03-2020,Jessica Anderson,New York,New York City,2020-03
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,04-05-2020,Mary Taylor,Florida,Orlando,2020-05
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,04-05-2020,Mary Taylor,Florida,Orlando,2020-05
B-25426,1023,78,9,Furniture,Tables,UPI,04-05-2020,Mary Taylor,Florida,Orlando,2020-05
B-25238,7600,1098,10,Office Supplies,Pens,UPI,09-11-2023,Walter Crawford,Illinois,Springfield,2023-11
B-25238,7501,262,18,Office Supplies,Paper,COD,09-11-2023,Walter Crawford,Illinois,Springfield,2023-11
B-25051,725,133,6,Office Supplies,Paper,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,2024-12
B-25051,7201,2685,2,Furniture,Tables,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,2024-12
B-26510,1629,265,1,Office Supplies,Paper,UPI,11-02-2025,Douglas Pennington,Texas,Dallas,2025-02
B-26510,1629,265,1,Office Supplies,Paper,UPI,23-01-2024,Ricardo Andrews,California,San Diego,2024-01
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,28-11-2020,Paul Raymond,California,San Diego,2020-11
B-25104,2939,894,20,Office Supplies,Binders,COD,28-11-2020,Paul Raymond,California,San Diego,2020-11
B-25553,9380,414,11,Electronics,Phones,UPI,30-05-2024,Karen Johnson,New York,Rochester,2024-05
B-25553,8558,1644,18,Office Supplies,Binders,Credit Card,30-05-2024,Karen Johnson,New York,Rochester,2024-05
B-25553,4080,72,17,Office Supplies,Paper,COD,30-05-2024,Karen Johnson,New York,Rochester,2024-05
B-26703,4206,1821,17,Electronics,Electronic Games,EMI,23-01-2022,Juan Erickson,Texas,Austin,2022-01
B-26232,5219,1180,20,Office Supplies,Binders,COD,17-12-2021,Alexander Reed,New York,New York City,2021-12
B-26232,5219,1180,20,Office Supplies,Binders,COD,03-02-2023,Jacqueline Harris,California,San Francisco,2023-02
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,30-10-2022,Tyler Park,California,San Francisco,2022-10
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,15-01-2022,Richard Wolfe,Ohio,Columbus,2022-01
B-26157,6045,1606,4,Office Supplies,Paper,COD,14-12-2023,Sierra Rios,Florida,Orlando,2023-12
B-26157,9337,554,11,Office Supplies,Pens,COD,14-12-2023,Sierra Rios,Florida,Orlando,2023-12
B-25555,4051,1848,12,Electronics,Phones,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,2023-07
B-25555,4051,1848,12,Electronics,Phones,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,2021-05
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,2023-07
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,2021-05
B-26139,3958,630,15,Furniture,Sofas,EMI,07-10-2022,Casey Garcia,Florida,Orlando,2022-10
B-26139,3132,963,1,Furniture,Tables,Debit Card,07-10-2022,Casey Garcia,Florida,Orlando,2022-10
B-25032,7784,2937,12,Office Supplies,Markers,UPI,06-08-2024,Denise Hampton,California,San Francisco,2024-08
B-25032,5591,1696,3,Office Supplies,Pens,COD,06-08-2024,Denise Hampton,California,San Francisco,2024-08
B-25032,5122,2413,12,Electronics,Electronic Games,COD,06-08-2024,Denise Hampton,California,San Francisco,2024-08
B-25730,8293,2632,8,Office Supplies,Binders,COD,05-01-2022,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,8293,2632,8,Office Supplies,Binders,COD,17-10-2020,Ms. Emily Baxter,New York,Rochester,2020-10
